Selected GPU: 4
Using device: cuda:4
ACC ON: 3317977
ACC OFF: 5747608
Epoch 85/200 | Loss: 0.3350 | Acc: 0.7536 | Prec: 0.6121 | Recall: 0.8919 | F1: 0.7260
Epoch 86/200 | Loss: 0.3351 | Acc: 0.7530 | Prec: 0.6111 | Recall: 0.8937 | F1: 0.7259
Epoch 87/200 | Loss: 0.3350 | Acc: 0.7517 | Prec: 0.6094 | Recall: 0.8951 | F1: 0.7251
Epoch 88/200 | Loss: 0.3349 | Acc: 0.7525 | Prec: 0.6106 | Recall: 0.8936 | F1: 0.7255
Epoch 89/200 | Loss: 0.3349 | Acc: 0.7526 | Prec: 0.6107 | Recall: 0.8935 | F1: 0.7255
Epoch 90/200 | Loss: 0.3349 | Acc: 0.7514 | Prec: 0.6090 | Recall: 0.8955 | F1: 0.7250
Epoch 91/200 | Loss: 0.3349 | Acc: 0.7525 | Prec: 0.6105 | Recall: 0.8936 | F1: 0.7254
Epoch 92/200 | Loss: 0.3349 | Acc: 0.7519 | Prec: 0.6098 | Recall: 0.8944 | F1: 0.7252
Epoch 93/200 | Loss: 0.3349 | Acc: 0.7526 | Prec: 0.6111 | Recall: 0.8910 | F1: 0.7250
Epoch 94/200 | Loss: 0.3348 | Acc: 0.7519 | Prec: 0.6096 | Recall: 0.8946 | F1: 0.7251
Epoch 95/200 | Loss: 0.3348 | Acc: 0.7532 | Prec: 0.6114 | Recall: 0.8930 | F1: 0.7258
Epoch 96/200 | Loss: 0.3348 | Acc: 0.7531 | Prec: 0.6113 | Recall: 0.8929 | F1: 0.7258
Epoch 97/200 | Loss: 0.3348 | Acc: 0.7533 | Prec: 0.6116 | Recall: 0.8925 | F1: 0.7258
Epoch 98/200 | Loss: 0.3347 | Acc: 0.7509 | Prec: 0.6083 | Recall: 0.8960 | F1: 0.7247
Epoch 99/200 | Loss: 0.3348 | Acc: 0.7506 | Prec: 0.6081 | Recall: 0.8953 | F1: 0.7242
Epoch 100/200 | Loss: 0.3347 | Acc: 0.7525 | Prec: 0.6105 | Recall: 0.8932 | F1: 0.7253
Epoch 101/200 | Loss: 0.3348 | Acc: 0.7520 | Prec: 0.6099 | Recall: 0.8942 | F1: 0.7252
Epoch 102/200 | Loss: 0.3347 | Acc: 0.7447 | Prec: 0.6013 | Recall: 0.8971 | F1: 0.7200
Epoch 103/200 | Loss: 0.3347 | Acc: 0.7526 | Prec: 0.6106 | Recall: 0.8940 | F1: 0.7256
Epoch 104/200 | Loss: 0.3347 | Acc: 0.7512 | Prec: 0.6087 | Recall: 0.8958 | F1: 0.7249
Epoch 105/200 | Loss: 0.3347 | Acc: 0.7498 | Prec: 0.6071 | Recall: 0.8961 | F1: 0.7238
Epoch 106/200 | Loss: 0.3346 | Acc: 0.7514 | Prec: 0.6090 | Recall: 0.8954 | F1: 0.7249
Epoch 107/200 | Loss: 0.3346 | Acc: 0.7538 | Prec: 0.6124 | Recall: 0.8914 | F1: 0.7260
Epoch 108/200 | Loss: 0.3346 | Acc: 0.7536 | Prec: 0.6120 | Recall: 0.8923 | F1: 0.7260
Epoch 109/200 | Loss: 0.3346 | Acc: 0.7547 | Prec: 0.6140 | Recall: 0.8878 | F1: 0.7259
Epoch 110/200 | Loss: 0.3345 | Acc: 0.7335 | Prec: 0.5886 | Recall: 0.9026 | F1: 0.7125
Epoch 111/200 | Loss: 0.3346 | Acc: 0.7516 | Prec: 0.6092 | Recall: 0.8954 | F1: 0.7251
Epoch 112/200 | Loss: 0.3347 | Acc: 0.7527 | Prec: 0.6107 | Recall: 0.8938 | F1: 0.7256
Epoch 113/200 | Loss: 0.3346 | Acc: 0.7508 | Prec: 0.6083 | Recall: 0.8953 | F1: 0.7245
Epoch 114/200 | Loss: 0.3346 | Acc: 0.7529 | Prec: 0.6110 | Recall: 0.8936 | F1: 0.7257
Epoch 115/200 | Loss: 0.3346 | Acc: 0.7538 | Prec: 0.6123 | Recall: 0.8916 | F1: 0.7260
Epoch 116/200 | Loss: 0.3345 | Acc: 0.7533 | Prec: 0.6116 | Recall: 0.8927 | F1: 0.7259
Epoch 117/200 | Loss: 0.3345 | Acc: 0.7531 | Prec: 0.6114 | Recall: 0.8924 | F1: 0.7257
Epoch 118/200 | Loss: 0.3346 | Acc: 0.7520 | Prec: 0.6097 | Recall: 0.8952 | F1: 0.7253
Epoch 119/200 | Loss: 0.3346 | Acc: 0.7540 | Prec: 0.6126 | Recall: 0.8911 | F1: 0.7261
